"","chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","plural_name","plural_name_short","singular_name","singular_name_short","squad_select","squad_min_play","squad_max_play","ui_shirt_specific","element_count","draw","loss","name","played","points","position","short_name","strength","team_division","unavailable","win","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","pulse_id","vapm","games"
"1",NA,NA,37605,0,0,0,0,0,3,"3.4",NA,0,"Mesut","0.0",1,FALSE,"",NA,70,"37605.jpg",2.9,"Özil","2.0",FALSE,NA,"a",1,3,53,0,0,0,0,"0.0","7.6","Özil",1439,1,3,5,20,0,0,0,1,0,0,1,256,"223.6","582.9","190.0","99.8",253,109,35,29,174,95,135,72,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.0128571428571429,18
"2",NA,NA,39476,0,0,0,0,0,2,"3.1",NA,0,"Sokratis","0.0",2,FALSE,"",NA,50,"39476.jpg",3,"Papastathopoulos","0.6",FALSE,NA,"a",1,3,57,0,0,0,0,"0.0","11.4","Sokratis",1696,2,0,4,25,0,0,0,6,0,0,5,305,"436.2","36.8","110.0","58.5",144,53,293,105,222,64,233,74,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.02,19
"3",NA,NA,41270,0,0,0,0,0,2,"3.5",NA,0,"David","0.0",3,FALSE,"",NA,55,"41270.jpg",2.8,"Luiz Moreira Marinho","1.8",FALSE,NA,"a",1,3,94,0,0,0,0,"0.0","17.1","David Luiz",2809,2,1,8,42,0,0,0,5,2,0,10,494,"701.6","106.7","211.0","102.1",50,18,221,61,160,32,130,35,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.0145454545454545,34
"4",NA,NA,54694,0,0,0,0,0,3,"5.0",NA,0,"Pierre-Emerick","0.0",4,FALSE,"",NA,120,"54694.jpg",5.7,"Aubameyang","33.9",FALSE,NA,"a",1,3,205,0,0,0,0,"0.0","17.1","Aubameyang",3136,22,5,10,44,0,0,0,3,1,0,37,807,"1006.0","479.6","1369.0","285.2",8,4,54,42,9,3,11,7,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.0308333333333333,36
"5",NA,NA,58822,0,0,0,0,0,2,"3.1",NA,0,"Cédric","0.0",5,FALSE,"",NA,50,"58822.jpg",2.9,"Soares","0.5",FALSE,NA,"a",1,3,61,0,0,0,0,"0.0","12.2","Cédric",1553,1,1,4,20,0,0,0,1,0,0,3,286,"349.0","218.9","118.0","68.7",182,68,158,34,221,63,201,59,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.018,21
"6",NA,NA,59966,0,0,0,0,0,4,"4.0",NA,0,"Alexandre","0.0",6,FALSE,"",NA,85,"59966.jpg",3.9,"Lacazette","2.6",FALSE,NA,"a",1,3,118,0,0,0,0,"0.0","13.9","Lacazette",1867,10,7,5,25,0,0,0,8,0,0,16,387,"536.4","337.7","861.0","173.8",101,15,106,14,32,17,46,17,"Forwards","FWD","Forward","FWD",3,1,3,FALSE,61,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.0223529411764706,30
"7",0,NA,69140,0,0,0,0,0,2,"0.0",NA,0,"Shkodran","0.0",7,FALSE,"Hamstring injury - Expected back 31 Oct","2020-08-15T10:00:11.331812Z",50,"69140.jpg",2.9,"Mustafi","0.0",FALSE,NA,"i",1,3,43,0,0,0,0,"0.0","8.6","Mustafi",1205,0,2,4,17,0,0,0,2,0,0,2,242,"277.2","45.5","155.0","47.9",218,83,283,97,197,50,262,87,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.018,15
"8",NA,NA,80201,0,0,0,0,0,1,"3.4",NA,0,"Bernd","0.0",8,FALSE,"",NA,50,"80201.jpg",3.8,"Leno","6.1",FALSE,NA,"a",1,3,114,0,0,0,0,"0.0","22.8","Leno",2649,0,0,7,39,0,1,0,2,0,113,10,591,"843.2","0.0","0.0","84.1",23,6,441,45,434,41,165,6,"Goalkeepers","GKP","Goalkeeper","GKP",2,1,1,TRUE,49,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.036,30
"9",NA,NA,84450,0,0,0,0,0,3,"2.8",NA,0,"Granit","0.0",9,FALSE,"",NA,55,"84450.jpg",2.4,"Xhaka","0.4",FALSE,NA,"a",1,3,73,0,0,0,0,"0.0","13.3","Xhaka",2586,1,2,10,31,0,0,0,10,0,0,2,408,"486.2","298.5","110.0","89.9",125,46,119,77,223,114,153,81,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.00727272727272727,30
"10",0,NA,92371,0,0,0,0,0,2,"0.0",NA,0,"Pablo","0.0",10,FALSE,"Ankle injury - Expected back 25 Sep","2020-08-15T10:00:11.357231Z",45,"92371.jpg",4,"Marí","0.0",FALSE,NA,"i",1,3,8,0,0,0,0,"0.0","1.8","Marí",113,0,0,1,0,0,0,0,0,0,0,1,31,"27.8","1.7","0.0","3.0",349,128,347,132,380,151,359,131,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.0444444444444444,2
