"","defending_team","xCS_a","xCS_h","matches_a","matches_h","xCS_per_game_a","xCS_per_game_h","total_xCS"
"1","Arsenal",5.93945482114496,3.83190514707327,19,19,0.312602885323419,0.201679218267014,9.77135996821823
"2","Aston_Villa",2.61260109022409,4.41863911029948,19,19,0.13750532053811,0.232559953173657,7.03124020052357
"3","Bournemouth",3.27983738785972,4.51009194710752,19,19,0.172623020413669,0.23737326037408,7.78992933496723
"4","Brighton",4.55717239398554,5.71214793946985,19,19,0.239851178630818,0.300639365235255,10.2693203334554
"5","Burnley",4.87821146570039,4.48073221090548,19,19,0.256747971878968,0.235828011100288,9.35894367660587
"6","Chelsea",3.30324947704411,9.32239597243506,19,19,0.173855235633901,0.490652419601845,12.6256454494792
"7","Crystal_Palace",2.91704308910265,6.83637234385326,19,19,0.153528583636981,0.359809070729119,9.75341543295591
"8","Everton",5.10016967738325,5.42789977742609,19,19,0.268429983020171,0.285678935654005,10.5280694548093
"9","Leicester",5.4505556022208,6.0483963486771,19,19,0.286871347485305,0.318336649930374,11.4989519508979
"10","Liverpool",6.64162041858306,7.83035447604808,19,19,0.349558969399109,0.412123919792004,14.4719748946311
"11","Manchester_City",7.06762529441823,8.64656312250643,19,19,0.371980278653591,0.455082269605602,15.7141884169247
"12","Manchester_United",7.00125602417484,7.44640315473479,19,19,0.368487159167097,0.391915955512357,14.4476591789096
"13","Newcastle_United",2.68069812252825,3.85507056887661,19,19,0.141089374869908,0.202898450993506,6.53576869140487
"14","Norwich",3.28843625693963,3.49270897443562,19,19,0.173075592470507,0.18382678812819,6.78114523137524
"15","Sheffield_United",3.57977897408466,6.13649933823237,19,19,0.188409419688666,0.322973649380651,9.71627831231703
"16","Southampton",5.54578834534679,4.79587200329127,19,19,0.291883597123515,0.252414315962698,10.3416603486381
"17","Tottenham",3.97315972384883,5.75956833284781,19,19,0.209113669676254,0.303135175413043,9.73272805669664
"18","Watford",4.6177316955555,5.1443915020322,19,19,0.243038510292395,0.270757447475379,9.76212319758769
"19","West_Ham",2.33601998236929,3.05614430580491,19,19,0.1229484201247,0.160849700305522,5.3921642881742
"20","Wolverhampton_Wanderers",6.44101855776832,8.08713844220537,19,19,0.339000976724649,0.42563886537923,14.5281569999737
