id,first_name,second_name,web_name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW
1,Shkodran,Mustafi,Mustafi,0,42,0,0,0,24,0,2,31,0,0,0,1,0,0,1,0,2,0,4.7,47,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,90,0,0,13,0,0,0,0,9,0,1,6,70767,0,0,0,2,0,0,3,0,0,0,50,TRUE,0,0,1
2,Héctor,Bellerín,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,0,0,0,13,0,0,0,0,0,0,1,0,110646,0,0,0,2,0,0,0,0,0,0,50,TRUE,0,0,1
3,Sead,Kolasinac,Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,0,0,0,13,0,0,0,0,0,0,1,0,6155,0,0,0,2,0,0,0,0,0,0,55,TRUE,0,0,1
4,Ainsley,Maitland-Niles,Maitland-Niles,0,29,0,0,0,17,0,9,22,11.7,1,0,4,0,0,1,1,2,0,6.2,27,1,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,90,0,0,13,0,0,0,0,7,0,1,0,727046,0,2,0,2,0,23,1,0,0,0,55,TRUE,0,0,1
5,Sokratis,Papastathopoulos,Sokratis,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,0,0,0,13,0,0,0,0,0,0,1,0,44811,0,0,0,2,0,0,0,0,0,0,55,TRUE,0,0,1
6,Nacho,Monreal,Monreal,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,0,0,0,13,0,0,0,0,0,0,1,0,29752,0,0,0,2,0,0,0,0,0,0,45,TRUE,0,0,1
7,Laurent,Koscielny,Koscielny,0,40,0,0,0,16,0,9,36,0.2,0,0,7,0,0,1,1,2,0,4.7,29.4,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,90,0,0,13,0,0,0,0,4,0,1,0,66040,0,0,0,2,0,17,1,0,0,0,55,TRUE,0,0,1
8,Konstantinos,Mavropanos,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,0,0,0,13,0,0,0,0,0,0,1,0,32166,0,0,0,2,0,0,0,0,0,0,50,TRUE,0,0,1
9,Carl,Jenkinson,Jenkinson,0,72,0,0,0,22,0,7,69,0.6,1,0,9,0,0,3,1,2,0,3.1,30.4,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,7,0,0,0,0,11,0,1,0,91508,0,2,0,2,0,0,1,0,0,0,45,TRUE,0,0,1
10,Rob,Holding,Holding,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,0,0,0,13,0,0,0,0,0,0,1,0,10713,0,0,0,2,0,0,0,0,0,0,50,TRUE,0,0,1
