defending_team,xCS_a,xCS_h,matches_a,matches_h,xCS_per_game_a,xCS_per_game_h,total_xCS,actual_cs
Arsenal,2.478161259822412,1.3951816646749744,8,9,0.3097701574778015,0.15502018496388603,3.8733429244973863,2
Aston_Villa,0.8282285443881086,1.7791344892167698,9,8,0.09202539382090096,0.22239181115209622,2.6073630336048783,0
Bournemouth,1.7295338052899285,1.8820707447536351,9,8,0.19217042280999205,0.2352588430942044,3.6116045500435634,4
Brighton,2.0316242122639196,2.681392992513648,9,8,0.22573602358487996,0.335174124064206,4.713017204777568,4
Burnley,1.7963443136563222,2.669213573631483,8,9,0.22454303920704027,0.29657928595905364,4.465557887287805,6
Chelsea,0.9722335455364166,3.594278227181781,8,9,0.12152919319205208,0.39936424746464233,4.566511772718197,3
Crystal_Palace,0.9920039274852462,2.699095102336492,8,9,0.12400049093565578,0.29989945581516575,3.6910990298217383,0
Everton,2.178139352579235,2.556419194530705,9,8,0.24201548361991498,0.3195523993163381,4.734558547109939,3
Leicester,2.7039318139565998,3.716870900289942,8,9,0.33799147674457497,0.41298565558777134,6.420802714246541,7
Liverpool,2.980810414024526,3.4766905002243167,8,9,0.37260130175306577,0.3862989444693685,6.457500914248843,4
Manchester_City,3.210126358941091,3.163834237659954,9,8,0.3566807065490101,0.39547927970749425,6.373960596601044,0
Manchester_United,2.8245104781845702,3.470872571394483,8,9,0.3530638097730713,0.3856525079327203,6.295383049579053,0
Newcastle_United,1.0030125146619582,1.4028489599389962,9,8,0.1114458349624398,0.17535611999237452,2.4058614746009543,0
Norwich,1.5547024840008428,1.2796692574745645,9,8,0.1727447204445381,0.15995865718432056,2.8343717414754073,2
Sheffield_United,1.4414303598744562,3.0853129342521703,8,9,0.18017879498430703,0.34281254825024116,4.526743294126627,0
Southampton,1.5739105897542478,1.9784343593588838,8,9,0.19673882371928098,0.21982603992876487,3.552344949113132,2
Tottenham,1.7470689091700962,3.2015461778389507,9,8,0.19411876768556624,0.40019327222986883,4.948615087009047,2
Watford,1.960530707102007,2.5418512054066715,9,8,0.21783674523355634,0.31773140067583394,4.502381912508678,4
West_Ham,0.9412684158282525,0.8748405525894802,9,8,0.1045853795364725,0.10935506907368503,1.8161089684177327,0
Wolverhampton_Wanderers,2.7439113807843345,2.540008357469472,8,9,0.3429889225980418,0.2822231508299413,5.283919738253807,0
