defending_team,home_away,xCS,CS,attacking_team
Liverpool,h,0.3980644111734657,0,Norwich
Norwich,a,0.05559861262670723,0,Liverpool
Manchester_City,a,0.20347760399479436,1,West_Ham
West_Ham,h,0.010092859659248632,0,Manchester_City
Bournemouth,h,0.048035375409561216,0,Sheffield_United
Sheffield_United,a,0.044999606014759046,0,Bournemouth
Burnley,h,0.24801246531328333,1,Southampton
Southampton,a,0.3374946415827678,0,Burnley
Crystal_Palace,h,0.22814574217939124,1,Everton
Everton,a,0.3311000871332712,1,Crystal_Palace
Brighton,a,0.4953998814778469,1,Watford
Watford,h,0.34859453733254975,0,Brighton
Aston_Villa,a,0.054171522636027286,0,Tottenham
Tottenham,h,0.49359330704784304,0,Aston_Villa
Arsenal,a,0.6725667635145247,1,Newcastle_United
Newcastle_United,h,0.2555907170309235,0,Arsenal
Leicester,h,0.40668515381704123,1,Wolverhampton_Wanderers
Wolverhampton_Wanderers,a,0.5719800231264228,1,Leicester
Chelsea,a,0.030144431053650243,0,Manchester_United
Manchester_United,h,0.30286774167093844,1,Chelsea
Arsenal,h,0.18545165173377162,0,Burnley
Burnley,a,0.27630596200745366,0,Arsenal
Aston_Villa,h,0.09171471770401433,0,Bournemouth
Bournemouth,a,0.15345729617477605,0,Aston_Villa
Brighton,h,0.3023790773895099,0,West_Ham
West_Ham,a,0.051583249352102234,0,Brighton
Everton,h,0.23604434998880225,1,Watford
Watford,a,0.4055864368485233,0,Everton
Newcastle_United,a,0.07607332158615963,0,Norwich
Norwich,h,0.3597669028376888,0,Newcastle_United
Liverpool,a,0.06998201733969901,0,Southampton
Southampton,h,0.17872186553293715,0,Liverpool
Manchester_City,h,0.9269528728429642,0,Tottenham
Tottenham,a,0.024017036433026134,0,Manchester_City
Crystal_Palace,a,0.09356304475502017,0,Sheffield_United
Sheffield_United,h,0.7805933329653908,1,Crystal_Palace
Chelsea,h,0.3409559843789354,0,Leicester
Leicester,a,0.23019741967644686,0,Chelsea
Manchester_United,a,0.7272635803462503,0,Wolverhampton_Wanderers
Wolverhampton_Wanderers,h,0.16065390153726222,0,Manchester_United
Aston_Villa,h,0.21006926879947221,1,Everton
Everton,a,0.37223211862553496,0,Aston_Villa
Chelsea,a,0.17659359361909713,0,Norwich
Norwich,h,0.12256705501200164,0,Chelsea
Leicester,a,0.4604003799192212,0,Sheffield_United
Sheffield_United,h,0.458683661494157,0,Leicester
Brighton,h,0.05057653512747411,0,Southampton
Southampton,a,0.31632485796963483,1,Brighton
Watford,h,0.0013164320277829968,0,West_Ham
West_Ham,a,0.03394133870120508,0,Watford
Crystal_Palace,a,0.046044152939214704,0,Manchester_United
Manchester_United,h,0.46981846315092335,0,Crystal_Palace
Arsenal,a,0.02266925828278053,0,Liverpool
Liverpool,h,0.3217132544540247,0,Arsenal
Bournemouth,h,0.02081388694007418,0,Manchester_City
Manchester_City,a,0.08849173252871033,0,Bournemouth
Burnley,a,0.13284520923226512,0,Wolverhampton_Wanderers
Wolverhampton_Wanderers,h,0.24650898625221868,0,Burnley
Newcastle_United,a,0.22921187987607802,1,Tottenham
Tottenham,h,0.5833783532405561,0,Newcastle_United
Manchester_United,a,0.39439315048262547,0,Southampton
Southampton,h,0.1197753368676811,0,Manchester_United
Norwich,a,0.06210771964100131,0,West_Ham
West_Ham,h,0.22061747265309922,1,Norwich
Chelsea,h,0.2814567362198377,0,Sheffield_United
Sheffield_United,a,0.05108839826324503,0,Chelsea
Aston_Villa,a,0.2178220945493245,0,Crystal_Palace
Crystal_Palace,h,0.7337852871508519,1,Aston_Villa
Bournemouth,a,0.0488274334625914,0,Leicester
Leicester,h,0.5373913863395969,0,Bournemouth
Brighton,a,0.05424962707230848,0,Manchester_City
Manchester_City,h,0.36923260011019415,1,Brighton
Newcastle_United,h,0.28938297171727234,0,Watford
Watford,a,0.3003587628054024,0,Newcastle_United
Burnley,h,0.2717001740778682,0,Liverpool
Liverpool,a,0.4899721997872319,1,Burnley
Everton,h,0.06703036685165993,0,Wolverhampton_Wanderers
Wolverhampton_Wanderers,a,0.17564578168643077,0,Everton
Arsenal,h,0.04500758355578917,0,Tottenham
Tottenham,a,0.11558779989092843,0,Arsenal
Liverpool,h,0.7417122699587736,0,Newcastle_United
Newcastle_United,a,0.019946721272041376,0,Liverpool
Leicester,a,0.16793589026747188,0,Manchester_United
Manchester_United,h,0.6148701117638204,1,Leicester
Brighton,h,0.6960716170508906,0,Burnley
Burnley,a,0.12528442460799571,0,Brighton
Sheffield_United,h,0.15818386463249068,0,Southampton
Southampton,a,0.11020958966765856,1,Sheffield_United
Crystal_Palace,a,0.30420345830224654,0,Tottenham
Tottenham,h,0.5514233161927075,1,Crystal_Palace
Chelsea,a,0.10821191481934693,0,Wolverhampton_Wanderers
