player_name,understat_games,understat_minutes,understat_goals,xG,xA,understat_assists,understat_shots,understat_key_passes,understat_yellow,understat_red,npg,npxG,team_name,team_code
Pierre-Emerick Aubameyang,17,1530,11,7.878863632678986,2.5297081992030144,1,43,14,2,0,10,7.117731660604477,Arsenal,1
Alexandre Lacazette,10,666,5,3.0955668315291405,1.1651762872934341,1,26,11,2,0,5,3.0955668315291405,Arsenal,1
David Luiz,14,1260,2,1.1225689444690943,0.03012360818684101,0,11,1,3,0,2,1.1225689444690943,Arsenal,1
Nicolas Pepe,15,1008,2,3.4343669302761555,1.5167724303901196,2,32,18,2,0,1,2.6731981225311756,Arsenal,1
Sokratis,15,1350,1,0.29362726397812366,0.7529756426811218,0,5,2,5,0,1,0.29362726397812366,Arsenal,1
Calum Chambers,12,990,1,0.5294111222028732,1.251705627888441,0,10,5,4,0,1,0.5294111222028732,Arsenal,1
Lucas Torreira,14,717,1,1.2158762980252504,0.258955841884017,0,15,7,1,0,1,1.2158762980252504,Arsenal,1
Gabriel Martinelli,9,265,1,0.6264202259480953,0.0947057232260704,0,5,1,1,0,1,0.6264202259480953,Arsenal,1
Bernd Leno,17,1530,0,0,0,0,0,0,2,0,0,0,Arsenal,1
Granit Xhaka,12,1020,0,0.1561925783753395,0.39591192081570625,1,7,9,4,0,0,0.1561925783753395,Arsenal,1
Henrikh Mkhitaryan,3,109,0,0.4295179098844528,0.2743019759654999,0,2,2,1,0,0,0.4295179098844528,Arsenal,1
Sead Kolasinac,14,926,0,0.18670990597456694,1.2778912372887135,2,3,9,2,0,0,0.18670990597456694,Arsenal,1
Héctor Bellerín,3,266,0,0.03701617196202278,0.13279984891414642,0,1,1,2,0,0,0.03701617196202278,Arsenal,1
Nacho Monreal,3,270,0,0.04398033022880554,0.45943301916122437,0,1,3,0,0,0,0.04398033022880554,Arsenal,1
Mesut Özil,8,675,0,0.8774195946753025,0.8122903406620026,1,5,18,0,0,0,0.8774195946753025,Arsenal,1
Shkodran Mustafi,1,90,0,0.16687580943107605,0,0,2,0,0,0,0,0.16687580943107605,Arsenal,1
Rob Holding,1,77,0,0,0,0,0,0,0,0,0,0,Arsenal,1
